City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Saint-Francois,FR,46.4154,3.9054,51.24,93,100,1.14,fog
122,Plettenberg Bay,ZA,-34.0527,23.3716,58.86,83,100,7.92,light rain
123,Epe,NG,6.5841,3.9834,74.95,94,100,3.78,moderate rain
124,Surt,LY,31.2089,16.5887,72.61,58,0,7.38,clear sky
125,Kaitangata,NZ,-46.2817,169.8464,51.39,52,27,4.79,scattered clouds
126,Byron Bay,AU,-28.65,153.6167,72.72,65,60,11.32,broken clouds
127,Nagato,JP,34.3833,131.2,63.88,91,100,13.27,light rain
128,Yumen,CN,40.2833,97.2,44.28,42,0,14.38,clear sky
129,Vao,NC,-22.6667,167.4833,71.01,71,47,26.13,scattered clouds
130,Fukue,JP,32.6881,128.8419,62.96,82,75,11.5,light rain
131,Paamiut,GL,61.994,-49.6678,35.56,72,78,6.4,broken clouds
132,Paratinga,BR,-12.6906,-43.1842,83.77,34,85,10.11,overcast clouds
133,Okha,RU,53.5739,142.9478,41.43,55,54,17.13,broken clouds
134,Rosita,NI,13.9268,-84.4032,73.96,99,100,2.91,overcast clouds
135,Itarema,BR,-2.9248,-39.9167,78.26,82,66,13.82,broken clouds
136,Kolondieba,ML,11.0882,-6.8926,74.93,84,89,0.51,light rain
137,Chokurdakh,RU,70.6333,147.9167,22.87,92,80,16.44,broken clouds
138,Chernyakhovsk,RU,54.6335,21.8156,49.19,82,0,9.82,clear sky
139,Abu Kamal,SY,34.4506,40.9171,80.06,29,74,5.79,broken clouds
140,Erzin,TR,36.9559,36.2,69.55,81,1,1.63,clear sky
141,Trofors,NO,65.5333,13.4063,42.67,98,100,6.85,light rain
142,Mosquera,CO,4.7059,-74.2302,53.69,94,100,6.91,overcast clouds
143,Uitenhage,ZA,-33.7576,25.3971,62.42,80,100,6.62,overcast clouds
144,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,12.66,clear sky
145,Semporna,MY,4.4818,118.6112,80.91,79,97,3.38,overcast clouds
146,Amapa,BR,1.0,-52.0,80.01,65,48,7.09,scattered clouds
147,Bengkulu,ID,-3.8004,102.2655,72.75,87,100,7.11,light rain
148,Barrow,US,71.2906,-156.7887,41.02,60,0,24.16,clear sky
149,Guatire,VE,10.4762,-66.5427,77.2,94,100,4.56,overcast clouds
150,Saldanha,ZA,-33.0117,17.9442,51.85,77,4,11.48,clear sky
151,College,US,64.8569,-147.8028,61.12,60,75,3.44,broken clouds
152,Shenzhen,CN,22.5455,114.0683,82.35,86,19,6.15,few clouds
153,Yurginskoye,RU,56.8189,67.3921,46.89,41,100,8.05,overcast clouds
154,San Cristobal,VE,7.7669,-72.225,71.78,99,100,2.95,overcast clouds
155,Gornopravdinsk,RU,60.05,69.9,43.43,69,100,7.36,overcast clouds
156,Ponta Do Sol,PT,32.6667,-17.1,72.72,62,7,5.91,clear sky
157,Atuona,PF,-9.8,-139.0333,77.0,75,5,18.23,clear sky
158,Kutum,SD,14.2,24.6667,78.26,26,89,8.55,overcast clouds
159,Codrington,AU,-38.2667,141.9667,58.87,74,65,12.84,broken clouds
160,Lusambo,CD,-4.9667,23.45,71.38,84,80,2.59,broken clouds
161,Sur,OM,22.5667,59.5289,80.58,60,13,2.42,few clouds
162,Nikolskoye,RU,59.7035,30.7861,53.49,74,75,13.94,broken clouds
163,Kamloops,CA,50.6665,-120.3192,75.74,44,75,2.3,broken clouds
164,Puerto Asis,CO,0.5133,-76.5007,81.86,71,87,2.84,moderate rain
165,Luderitz,NA,-26.6481,15.1594,60.8,53,72,21.09,broken clouds
166,Asfi,MA,32.2994,-9.2372,72.01,65,24,6.62,few clouds
167,Vite,IN,17.2833,74.55,67.93,95,100,6.42,overcast clouds
168,Krasnoselkup,RU,65.7,82.4667,29.97,89,88,11.9,overcast clouds
169,Chicama,PE,-7.8447,-79.1469,59.54,81,16,6.44,few clouds
170,Mocuba,MZ,-16.8392,36.9856,69.42,82,0,2.42,clear sky
171,Afua,BR,-0.1567,-50.3867,80.38,72,18,10.27,few clouds
172,Brazzaville,CG,-4.2658,15.2832,74.46,72,93,1.43,light rain
173,Akureyri,IS,65.6835,-18.0878,37.33,81,100,16.11,light intensity drizzle
174,Port Alfred,ZA,-33.5906,26.891,57.18,87,100,4.0,overcast clouds
175,Rorvik,NO,64.8621,11.2373,48.31,87,100,19.57,drizzle rain
176,Roros,NO,62.5747,11.3842,40.84,65,72,12.66,broken clouds
177,Airai,TL,-8.9266,125.4092,70.09,57,28,3.58,scattered clouds
178,Mandalgovi,MN,45.7625,106.2708,37.44,28,100,8.43,overcast clouds
179,Brookhaven,US,31.5791,-90.4407,82.06,52,28,2.66,scattered clouds
180,Naze,JP,28.3667,129.4833,76.12,74,48,5.82,scattered clouds
181,Mehamn,NO,71.0357,27.8492,44.55,81,20,18.41,few clouds
182,Kang,BW,-23.6752,22.7876,72.34,20,3,6.11,clear sky
183,Gravdal,NO,68.1214,13.5031,48.52,68,97,21.0,overcast clouds
184,Kapustin Yar,RU,48.5831,45.7372,55.44,63,94,5.01,overcast clouds
185,Neosho,US,36.869,-94.368,79.27,43,2,1.01,clear sky
186,Thompson,CA,55.7435,-97.8558,37.56,48,20,9.22,few clouds
187,Hamilton,US,39.1834,-84.5333,70.09,55,40,4.61,scattered clouds
188,Puerto Penasco,MX,31.3167,-113.5333,84.9,63,4,11.97,clear sky
189,Norman Wells,CA,65.282,-126.8329,57.24,41,20,4.61,few clouds
190,Chuy,UY,-33.6971,-53.4616,57.25,92,100,17.83,light rain
191,Vestmannaeyjar,IS,63.4427,-20.2734,40.21,78,25,25.39,scattered clouds
192,Katherine,AU,-14.4667,132.2667,84.52,61,0,5.75,clear sky
193,Meulaboh,ID,4.1363,96.1285,74.34,95,100,9.06,overcast clouds
194,Hammerfest,NO,70.6634,23.6821,45.05,81,75,29.93,light intensity shower rain
195,Saint George,US,37.1041,-113.5841,87.26,21,0,3.44,clear sky
196,Talnakh,RU,69.4865,88.3972,25.21,98,98,8.57,overcast clouds
197,Olafsvik,IS,64.8945,-23.7142,41.22,69,88,14.14,overcast clouds
198,Richards Bay,ZA,-28.783,32.0377,69.69,83,100,15.68,overcast clouds
199,Bereda,ES,43.2686,-7.5406,60.15,100,93,4.29,overcast clouds
200,Tiksi,RU,71.6872,128.8694,20.62,84,100,27.47,overcast clouds
201,Aljezur,PT,37.3191,-8.8033,66.07,73,95,3.65,overcast clouds
202,Carnarvon,AU,-24.8667,113.6333,62.62,53,49,24.81,scattered clouds
203,Singkang,MY,2.1006,102.7994,75.07,95,99,3.15,overcast clouds
204,Abu Samrah,SY,35.3029,37.1841,68.97,68,0,3.65,clear sky
205,Mount Isa,AU,-20.7333,139.5,87.57,42,18,10.36,few clouds
206,Ryotsu,JP,38.0833,138.4333,57.79,74,100,10.51,light rain
207,Mozarlandia,BR,-14.7447,-50.5706,86.68,36,64,2.64,broken clouds
208,Hualmay,PE,-11.0964,-77.6139,62.1,79,26,9.6,scattered clouds
209,Kazachinskoye,RU,57.6953,93.2761,32.11,96,100,2.77,overcast clouds
210,Rocha,UY,-34.4833,-54.3333,55.42,95,100,15.21,overcast clouds
211,Bilma,NE,18.6853,12.9164,84.51,22,68,11.07,broken clouds
212,Newport,GB,51.5877,-2.9984,59.77,88,65,19.89,broken clouds
213,Lompoc,US,34.6391,-120.4579,89.02,82,100,10.36,fog
214,Thongwa,MM,16.7619,96.5278,77.16,86,100,4.09,overcast clouds
215,Tasiilaq,GL,65.6145,-37.6368,35.76,69,82,5.5,broken clouds
216,Christchurch,NZ,-43.5333,172.6333,55.33,60,25,14.97,scattered clouds
