City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Conceicao Do Araguaia,BR,85.32,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
535,Sao Jose Da Coroa Grande,BR,75.67,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
538,Alenquer,BR,86.5,broken clouds,-1.9417,-54.7383,Detinha Hotel
541,Ewa Beach,US,85.37,scattered clouds,21.3156,-158.0072,Base Lodging
543,Hobyo,SO,76.87,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
547,Muli,MV,81.72,broken clouds,2.9167,73.5667,Medhufushi Island Resort
550,Orchard Homes,US,76.28,clear sky,46.8633,-114.0484,Broadway Inn
552,Buala,SB,84.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
555,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
558,Katobu,ID,80.98,overcast clouds,-4.9408,122.5276,La Ode Husein
559,Cabo San Lucas,MX,88.9,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
564,Port Keats,AU,88.54,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
567,Kaohsiung,TW,84.04,scattered clouds,22.6163,120.3133,御宿商旅-中山館
572,Savannah Bight,HN,78.08,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
578,Progreso,MX,78.3,clear sky,21.2833,-89.6667,Playa Linda Hotel
579,Hervey Bay,AU,75.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
582,Faqirwali,PK,76.5,clear sky,29.4663,73.034,Al makkah tayer faqirwali
596,Eyl,SO,77.41,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
602,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
605,Sao Felix Do Xingu,BR,83.75,moderate rain,-6.6447,-51.995,Rio Xingu Camping
608,Luganville,VU,83.07,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
615,Indramayu,ID,79.77,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
620,Marawi,PH,76.03,broken clouds,7.9986,124.2928,Derogongan Residence
621,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
623,Quisqueya,DO,80.49,scattered clouds,18.5554,-69.4081,Pensión Doña Rosa
