City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Rajauri,IN,2022-10-04 23:52:57,33.3833,74.3,66.6,34,0,6.22
110,Valparaiso,CL,2022-10-04 23:52:16,-33.0393,-71.6273,56.48,95,0,4.61
111,Terekli-Mekteb,RU,2022-10-04 23:52:58,44.1671,45.8698,62.92,74,80,7.7
112,Marsa Matruh,EG,2022-10-04 23:52:59,31.3525,27.2453,74.95,66,99,12.48
113,Hirara,JP,2022-10-04 23:52:59,24.8,125.2833,82.26,83,20,8.05
114,Chapais,CA,2022-10-04 23:52:59,49.7834,-74.8492,49.78,99,100,3.09
115,Mount Gambier,AU,2022-10-04 23:47:05,-37.8333,140.7667,52.23,98,100,13.47
116,Malanville,BJ,2022-10-04 23:53:00,11.8685,3.3899,76.91,70,87,5.82
117,Comodoro Rivadavia,AR,2022-10-04 23:50:36,-45.8667,-67.5,62.46,29,0,18.41
118,Jurado,CO,2022-10-04 23:53:01,7.1053,-77.7641,79.05,87,99,2.17
119,Bahia Blanca,AR,2022-10-04 23:51:55,-38.7196,-62.2724,54.79,89,100,6.08
120,Airai,TL,2022-10-04 23:53:02,-8.9266,125.4092,67.59,77,96,2.42
121,Padang,ID,2022-10-04 23:53:03,-0.9492,100.3543,73.45,90,100,3.85
122,Bluff,NZ,2022-10-04 23:53:04,-46.6,168.3333,38.8,75,96,27.36
123,Yukhnov,RU,2022-10-04 23:53:04,54.7444,35.2297,43.29,96,100,6.38
124,Quang Ngai,VN,2022-10-04 23:53:05,15.1167,108.8,77.22,89,92,4.68
125,Codrington,AU,2022-10-04 23:45:34,-38.2667,141.9667,51.57,95,100,18.52
126,Kaoma,ZM,2022-10-04 23:53:06,-14.7833,24.8,64.26,28,0,5.66
127,Qaanaaq,GL,2022-10-04 23:43:56,77.484,-69.3632,15.49,76,99,4.97
128,Dikson,RU,2022-10-04 23:44:07,73.5069,80.5464,33.39,83,100,18.72
129,Bethel,US,2022-10-04 23:45:15,41.3712,-73.414,54.52,87,100,10.36
130,Guiglo,CI,2022-10-04 23:53:08,6.5456,-7.4966,72.18,100,77,2.53
131,Maiduguri,NG,2022-10-04 23:53:09,11.8464,13.1603,77.97,71,88,7.47
132,Kahului,US,2022-10-04 23:44:00,20.8947,-156.47,82.98,79,40,21.85
133,Alta Floresta,BR,2022-10-04 23:53:10,-9.8756,-56.0861,75.58,77,79,2.84
134,Puerto Ayora,EC,2022-10-04 23:43:42,-0.7393,-90.3518,67.55,90,77,8.01
135,Zuenoula,CI,2022-10-04 23:53:11,7.4292,-6.0431,71.67,98,71,3.6
136,Bambous Virieux,MU,2022-10-04 23:47:01,-20.3428,57.7575,70.05,83,40,5.75
137,Methoni,GR,2022-10-04 23:54:12,36.8197,21.7049,69.22,73,40,9.13
138,Arraial Do Cabo,BR,2022-10-04 23:54:13,-22.9661,-42.0278,71.46,83,75,4.61
139,Missoula,US,2022-10-04 23:54:14,47.0166,-113.8009,68.09,43,0,2.37
140,Flinders,AU,2022-10-04 23:54:15,-34.5833,150.8552,61.38,80,100,4.0
141,Carutapera,BR,2022-10-04 23:54:16,-1.195,-46.02,78.57,75,53,7.87
142,Zaysan,KZ,2022-10-04 23:54:16,47.4667,84.8667,39.79,31,28,5.68
143,Sabha,LY,2022-10-04 23:54:17,27.0377,14.4283,72.25,41,0,9.98
144,Vangaindrano,MG,2022-10-04 23:54:18,-23.35,47.6,65.82,94,8,6.58
145,Tuatapere,NZ,2022-10-04 23:46:39,-46.1333,167.6833,37.4,85,99,20.04
146,Mar Del Plata,AR,2022-10-04 23:50:04,-38.0023,-57.5575,58.08,77,0,13.8
147,Mahebourg,MU,2022-10-04 23:54:20,-20.4081,57.7,70.09,83,40,5.75
148,Victoria,HK,2022-10-04 23:49:21,22.2855,114.1577,86.18,84,52,5.01
149,Darhan,MN,2022-10-04 23:54:21,49.4867,105.9228,28.76,54,4,4.25
150,Port Lincoln,AU,2022-10-04 23:54:21,-34.7333,135.8667,62.96,78,35,10.78
151,Abashiri,JP,2022-10-04 23:53:50,44.0213,144.2697,52.95,62,20,5.75
